Iee_Data,Iee_Ultimo,Iee_Abertura,Iee_Maxima,Iee_Minima,Iee_Variacao
2010-01-04,24590.6,24331.65,24612.57,24324.21,1.08
2010-01-05,24601.36,24629.6,24765.91,24569.13,0.04
2010-01-06,24574.42,24619.3,24738.93,24571.7,-0.11
2010-01-07,24636.47,24501.81,24664.05,24463.78,0.25
2010-01-08,24649.72,24668.93,24687.08,24467.11,0.05
2010-01-11,24743.46,24748.98,24795.25,24627.36,0.38
2010-01-12,24857.8,24628.29,24857.8,24500.82,0.46
2010-01-13,24867.38,24904.1,24932.05,24701.13,0.04
2010-01-14,24581.89,24805.01,24904.06,24536.14,-1.15
2010-01-15,24329.05,24491.48,24586.59,24201.47,-1.03
2010-01-18,24170.35,24383.24,24437.46,24170.35,-0.65
2010-01-19,24342.15,24124.21,24351.24,23985.44,0.71
2010-01-20,24017.73,24232.6,24264.35,23816.01,-1.33
2010-01-21,23774.38,24056.66,24114.6,23713.04,-1.01
2010-01-22,24020.33,23741.03,24046.16,23653.0,1.03
2010-01-26,24300.36,23843.31,24300.36,23791.22,1.17
2010-01-27,24248.23,24250.69,24329.82,24074.12,-0.21
2010-01-28,24087.84,24336.56,24336.56,24035.68,-0.66
2010-01-29,24304.52,24268.94,24530.51,24173.57,0.9
2010-02-01,24407.99,24361.68,24464.86,24191.82,0.43
2010-02-02,24325.62,24418.39,24504.96,24282.19,-0.34
2010-02-03,24335.3,24353.33,24403.58,24222.4,0.04
2010-02-04,23887.98,24306.82,24306.82,23743.57,-1.84
2010-02-05,23753.28,23720.87,23937.13,23494.32,-0.56
2010-02-08,24048.32,23752.84,24080.35,23718.3,1.24
2010-02-09,24259.73,24145.21,24443.89,24134.2,0.88
2010-02-10,24374.34,24218.48,24374.34,24140.86,0.47
2010-02-11,24558.5,24395.68,24590.99,24177.88,0.76
2010-02-12,24465.42,24452.77,24542.56,24353.04,-0.38
2010-02-17,24659.56,24565.46,24724.75,24538.2,0.79
2010-02-18,24746.17,24645.0,24760.32,24436.46,0.35
2010-02-19,24474.72,24769.07,24769.07,24418.1,-1.1
2010-02-22,24470.89,24571.27,24633.75,24367.51,-0.02
2010-02-23,24297.44,24472.61,24472.61,24216.16,-0.71
2010-02-24,24230.07,24326.43,24338.29,24147.14,-0.28
2010-02-25,24337.92,24086.12,24423.76,23926.92,0.45
2010-02-26,24437.8,24329.78,24437.8,24154.05,0.41
2010-03-01,24657.17,24503.46,24710.31,24491.63,0.9
2010-03-02,24770.57,24731.76,24888.82,24692.95,0.46
2010-03-03,24662.1,24817.76,24884.99,24580.13,-0.44
2010-03-04,24545.14,24709.67,24784.67,24440.73,-0.47
2010-03-05,24682.34,24680.57,24795.42,24604.07,0.56
2010-03-08,24597.39,24710.4,24741.95,24531.37,-0.34
2010-03-09,24832.42,24517.78,24922.84,24516.97,0.96
2010-03-10,24966.32,24860.06,25102.28,24852.87,0.54
2010-03-11,24937.93,24924.23,25024.73,24874.61,-0.11
2010-03-12,24597.61,24987.11,25000.83,24597.61,-1.36
2010-03-15,24612.68,24583.44,24659.7,24484.37,0.06
2010-03-16,24787.04,24633.01,24865.9,24629.4,0.71
2010-03-17,24871.39,24837.26,24912.23,24808.41,0.34
2010-03-18,24819.63,24931.07,24937.22,24629.58,-0.21
2010-03-19,24752.45,24913.48,24925.52,24618.15,-0.27
2010-03-22,24723.2,24669.82,24785.75,24526.52,-0.12
2010-03-23,24718.86,24731.0,24744.84,24602.29,-0.02
2010-03-24,24462.86,24646.63,24659.76,24462.86,-1.04
2010-03-25,24410.06,24504.2,24584.0,24360.28,-0.22
2010-03-26,24479.69,24514.29,24526.27,24362.48,0.29
2010-03-29,24476.78,24509.25,24601.97,24451.63,-0.01
2010-03-30,24424.42,24520.46,24534.55,24366.75,-0.21
2010-03-31,24220.61,24405.94,24435.07,24163.85,-0.83
2010-04-01,24291.77,24311.68,24373.49,24250.06,0.29
2010-04-05,24353.27,24365.15,24393.19,24293.96,0.25
2010-04-06,24336.15,24285.53,24374.28,24275.13,-0.07
2010-04-07,24226.41,24284.33,24306.34,24195.72,-0.45
2010-04-08,24286.14,24216.17,24324.62,24169.7,0.25
2010-04-09,24128.61,24321.21,24354.67,24083.86,-0.65
2010-04-12,24014.77,24139.47,24226.45,24014.77,-0.47
2010-04-13,24108.87,24050.38,24147.96,23996.59,0.39
2010-04-14,24284.6,24091.1,24342.63,24091.1,0.73
2010-04-15,24138.25,24273.78,24285.16,24106.97,-0.6
2010-04-16,24040.14,24052.51,24104.51,23927.94,-0.41
2010-04-19,24020.59,24013.37,24083.22,23922.13,-0.08
2010-04-20,23945.11,24120.29,24120.29,23916.02,-0.31
2010-04-22,24048.88,23797.04,24105.18,23783.47,0.43
2010-04-23,24162.77,24027.09,24190.15,23992.48,0.47
2010-04-26,24204.47,24197.88,24261.1,24163.0,0.17
2010-04-27,23946.56,24105.95,24302.28,23897.69,-1.07
2010-04-28,23994.05,24039.5,24130.8,23930.52,0.2
2010-04-29,24175.67,24054.79,24247.72,23977.19,0.76
2010-04-30,24233.19,24110.25,24309.71,24083.64,0.24
2010-05-03,24274.33,24354.9,24354.9,24054.82,0.17
2010-05-04,23935.05,24132.63,24292.8,23732.79,-1.4
2010-05-05,23877.1,23793.49,24007.12,23559.54,-0.24
2010-05-06,23425.76,23934.83,23948.04,22883.56,-1.89
2010-05-07,23286.17,23334.46,23493.6,23033.51,-0.6
2010-05-10,23788.02,23616.0,24039.78,23600.45,2.16
2010-05-11,23341.83,23700.07,23846.81,23341.83,-1.88
2010-05-12,23599.48,23421.83,23619.93,23399.61,1.1
2010-05-13,23538.51,23560.66,23560.66,23356.82,-0.26
2010-05-14,23195.67,23471.98,23490.14,22967.96,-1.46
2010-05-17,23230.9,23178.44,23272.76,22932.42,0.15
2010-05-18,22893.27,23360.46,23360.46,22821.01,-1.45
2010-05-19,22587.55,22843.8,22900.58,22402.08,-1.34
2010-05-20,22045.42,22391.94,22391.94,21892.83,-2.4
2010-05-21,22289.36,22045.98,22308.85,21915.39,1.11
2010-05-24,22364.02,22254.09,22489.16,22177.68,0.33
2010-05-25,22111.03,22094.73,22111.67,21782.92,-1.13
2010-05-26,22491.82,22125.42,22497.02,22049.36,1.72
2010-05-27,22693.06,22533.99,22759.07,22533.99,0.89
2010-05-28,22582.93,22739.52,22739.52,22471.61,-0.49
2010-05-31,22838.16,22646.72,22838.16,22556.59,1.13
2010-06-01,22403.79,22645.86,22754.11,22403.79,-1.9
2010-06-02,22658.82,22458.34,22749.92,22343.17,1.14
2010-06-04,22813.6,22593.53,22834.69,22565.84,0.68
2010-06-07,22972.88,22855.64,23071.64,22837.5,0.7
2010-06-08,23083.49,23045.76,23186.89,23023.18,0.48
2010-06-09,23074.1,23135.48,23194.7,23020.6,-0.04
2010-06-10,23144.56,23191.29,23283.72,23076.26,0.31
2010-06-11,23239.98,23101.49,23297.55,22965.61,0.41
2010-06-14,23392.04,23280.54,23434.93,23242.33,0.65
2010-06-15,23674.56,23460.52,23711.44,23390.41,1.21
2010-06-16,23774.33,23602.38,23774.33,23453.89,0.42
2010-06-17,23779.02,23782.15,23885.25,23648.47,0.02
2010-06-18,23924.8,23764.13,23924.8,23756.17,0.61
2010-06-21,23981.95,23945.97,24110.66,23921.58,0.24
2010-06-22,24105.03,24041.35,24261.04,23952.64,0.51
2010-06-23,24088.55,24109.34,24162.01,23973.73,-0.07
2010-06-24,23997.45,24012.19,24078.07,23877.82,-0.38
2010-06-25,24336.44,24030.27,24357.41,23995.96,1.41
2010-06-28,24462.8,24384.47,24462.8,24293.86,0.52
2010-06-29,24190.29,24289.65,24289.65,24070.87,-1.11
2010-06-30,24080.73,24189.07,24338.63,24052.48,-0.45
2010-07-01,23904.07,24108.82,24108.82,23733.28,-0.73
2010-07-02,24045.52,23969.92,24124.88,23936.02,0.59
2010-07-05,24121.23,24060.26,24177.45,23909.96,0.31
2010-07-06,24358.15,24268.21,24487.05,24147.15,0.98
2010-07-07,24357.02,24392.64,24509.18,24337.74,0.0
2010-07-08,24197.0,24388.84,24392.29,24037.94,-0.66
2010-07-12,24021.66,24222.92,24331.94,23906.48,-0.72
2010-07-13,24272.84,24116.31,24275.79,23951.32,1.05
2010-07-14,23877.42,24145.74,24226.74,23814.36,-1.63
2010-07-15,23902.68,23881.06,23902.68,23755.84,0.11
2010-07-16,23728.05,23928.05,23935.14,23708.09,-0.73
2010-07-19,23858.72,23794.23,23887.86,23771.77,0.55
2010-07-20,23880.63,23868.5,23991.3,23772.6,0.09
2010-07-21,23904.72,23888.81,23935.05,23752.37,0.1
2010-07-22,24284.43,24069.37,24284.43,24059.43,1.59
2010-07-23,24459.06,24254.92,24459.06,24201.9,0.72
2010-07-26,24562.68,24449.06,24647.51,24449.06,0.42
2010-07-27,24477.86,24632.57,24708.78,24450.32,-0.35
2010-07-28,24456.91,24499.74,24540.43,24428.81,-0.09
2010-07-29,24636.66,24568.02,24636.66,24455.34,0.73
2010-07-30,24870.22,24550.95,24870.65,24477.14,0.95
2010-08-02,25068.65,25018.73,25115.41,24927.89,0.8
2010-08-03,24986.76,24998.17,25121.22,24960.08,-0.33
2010-08-04,25052.01,25049.99,25075.7,24891.58,0.26
2010-08-05,25225.9,24910.8,25243.54,24910.8,0.69
2010-08-06,25249.67,25230.53,25249.67,25140.7,0.09
2010-08-09,25028.96,25300.84,25308.72,24979.15,-0.87
2010-08-10,25084.39,24894.12,25099.7,24823.13,0.22
2010-08-11,24936.11,24948.93,25001.43,24830.59,-0.59
2010-08-12,25001.45,24850.37,25046.54,24768.58,0.26
2010-08-13,24945.65,24979.02,25035.4,24902.73,-0.22
2010-08-16,25298.93,24924.86,25298.93,24898.96,1.42
2010-08-17,25320.94,25345.46,25445.01,25305.38,0.09
2010-08-18,25801.9,25420.8,25801.9,25385.38,1.9
2010-08-19,25811.7,25785.11,25833.39,25577.0,0.04
2010-08-20,25923.88,25767.24,25938.02,25637.32,0.43
2010-08-23,25678.76,25904.13,26077.52,25678.76,-0.95
2010-08-24,25805.75,25496.85,25871.52,25479.35,0.49
